source,tag,hidden,D_eff,seed,step,exact_pct,token_pct,lm_loss
budget,h128_d9_s2,128,9,2,10000,4.8828,67.5444,0.7816785573959351
budget,h128_d9_s2,128,9,2,12000,5.0781,67.9181,0.7522933483123779
budget,h128_d9_s2,128,9,2,14000,5.2734,67.5444,0.7575028538703918
budget,h128_d9_s2,128,9,2,16000,5.2734,68.3497,0.7285659313201904
budget,h128_d9_s2,128,9,2,18000,6.6406,68.2123,0.7653751969337463
budget,h128_d9_s2,128,9,2,20000,3.9062,67.5058,0.7574897408485413
budget,h128_d9_s2,128,9,2,22000,5.0781,67.554,0.7461552023887634
budget,h128_d9_s2,128,9,2,24000,4.4922,67.8144,0.7448163032531738
budget,h128_d9_s2,128,9,2,26000,11.3281,68.7379,0.7528268694877625
budget,h128_d9_s2,128,9,2,28000,5.8594,68.1327,0.7301139831542969
budget,h128_d9_s2,128,9,2,30000,5.2734,67.4093,0.7468312382698059
budget,h128_d9_s3,128,9,3,2000,0.0,58.2489,1.0155529975891113
budget,h128_d9_s3,128,9,3,4000,1.3672,63.3584,0.8651063442230225
budget,h128_d9_s3,128,9,3,6000,2.5391,64.7352,0.834124743938446
budget,h128_d9_s3,128,9,3,8000,2.7344,66.4448,0.7795259952545166
budget,h128_d9_s3,128,9,3,10000,2.5391,66.833,0.7598939538002014
budget,h128_d9_s3,128,9,3,12000,2.9297,67.501,0.7457465529441833
budget,h128_d9_s3,128,9,3,14000,2.7344,67.0091,0.7517043352127075
budget,h128_d9_s3,128,9,3,16000,10.3516,67.9229,0.7922447919845581
budget,h128_d9_s3,128,9,3,18000,10.3516,68.3329,0.7696695923805237
budget,h128_d9_s3,128,9,3,20000,6.4453,67.5492,0.754115879535675
budget,h128_d9_s3,128,9,3,22000,10.5469,67.7927,0.7977303266525269
budget,h128_d9_s3,128,9,3,24000,10.7422,67.6432,0.7812777161598206
budget,h128_d9_s3,128,9,3,26000,5.4688,67.4503,0.7543843984603882
budget,h128_d9_s3,128,9,3,28000,8.7891,68.9743,0.7190616726875305
budget,h128_d9_s3,128,9,3,30000,5.8594,67.8217,0.7426215410232544
budget,h128_d9_s4,128,9,4,2000,0.0,58.7481,0.9997625350952148
budget,h128_d9_s4,128,9,4,4000,1.9531,64.0456,0.8570868968963623
budget,h128_d9_s4,128,9,4,6000,2.7344,65.7624,0.7931444644927979
budget,h128_d9_s4,128,9,4,8000,2.5391,66.6305,0.7592417597770691
budget,h128_d9_s4,128,9,4,10000,8.2031,66.2495,0.9253696799278259
budget,h128_d9_s4,128,9,4,12000,5.4688,67.9446,0.7371405363082886
budget,h128_d9_s4,128,9,4,14000,5.6641,68.1183,0.738761842250824
budget,h128_d9_s4,128,9,4,16000,7.4219,68.4534,0.7355615496635437
budget,h128_d9_s4,128,9,4,18000,6.25,67.8988,0.7466540932655334
budget,h128_d9_s4,128,9,4,20000,6.4453,67.7638,0.7468647956848145
budget,h128_d9_s4,128,9,4,22000,6.0547,68.2364,0.7293150424957275
budget,h128_d9_s4,128,9,4,24000,9.7656,68.7331,0.7375872135162354
budget,h128_d9_s4,128,9,4,26000,5.4688,67.7083,0.7401704788208008
budget,h128_d9_s4,128,9,4,28000,7.4219,68.017,0.7343541979789734
budget,h128_d9_s4,128,9,4,30000,3.3203,67.5082,0.7397915720939636
scale,h128_d18,128,18,0,328,0.0,11.0894,2.44238018989563
scale,h128_d18,128,18,0,656,0.0,15.9578,2.188417434692383
scale,h128_d18,128,18,0,984,0.0,38.3825,1.7347334623336792
scale,h128_d18,128,18,0,1312,0.0,48.7727,1.4226316213607788
scale,h128_d18,128,18,0,1640,0.0,56.5996,1.1039012670516968
scale,h128_d18,128,18,0,1968,0.0,58.9313,1.0103310346603394
scale,h128_d18,128,18,0,2296,0.0,59.7343,0.9549279808998108
scale,h128_d18,128,18,0,2624,0.0,60.8652,0.9286414980888367
scale,h128_d18,128,18,0,2952,0.1953,61.9092,0.8952257037162781
scale,h128_d18,128,18,0,3280,0.3906,62.6857,0.8860705494880676
scale,h128_d18,128,18,0,3608,0.7812,63.2837,0.8605226278305054
scale,h128_d18,128,18,0,3936,1.9531,63.6237,0.8633325099945068
scale,h128_d9,128,9,0,328,0.0,11.1376,2.427564859390259
scale,h128_d9,128,9,0,656,0.0,17.3515,2.1782379150390625
scale,h128_d9,128,9,0,984,0.0,39.1951,1.702426552772522
scale,h128_d9,128,9,0,1312,0.0,49.3731,1.3997927904129028
scale,h128_d9,128,9,0,1640,0.0,56.6117,1.0939191579818726
scale,h128_d9,128,9,0,1968,0.0,58.9096,1.0066801309585571
scale,h128_d9,128,9,0,2296,0.0,59.5655,0.9529675245285034
scale,h128_d9,128,9,0,2624,0.0,60.9254,0.925542414188385
scale,h128_d9,128,9,0,2952,0.0,62.0611,0.9016371369361877
scale,h128_d9,128,9,0,3280,0.5859,62.7194,0.8889514207839966
scale,h128_d9,128,9,0,3608,0.9766,63.3198,0.8609662055969238
scale,h128_d9,128,9,0,3936,1.1719,63.8985,0.8406155109405518
scale,h256_d18,256,18,0,328,0.0,11.3016,2.3919548988342285
scale,h256_d18,256,18,0,656,0.0,25.9476,2.092136859893799
